"name","url","poem"
"EF-S35mm F2.8 マクロ IS STM","https://cweb.canon.jp/ef/lineup/ef-s/ef-s35-f28/","マクロレンズで写真が変わる。 LEDライト内蔵 F2.8でボケ味もキレイ 軽量！約190g "
"EF-S55-250mm F4-5.6 IS STM","https://cweb.canon.jp/ef/lineup/ef-s/ef-s55-250-f4-56is-stm/","快適なAFを実現した小型・軽量の望遠ズームレンズ。"
"EF-S60mm F2.8 マクロ USM","https://cweb.canon.jp/ef/lineup/ef-s/ef-s60-f28/","小型・軽量が魅力の中望遠マクロレンズ"
"EF-M11-22mm F4-5.6 IS STM","https://cweb.canon.jp/ef/lineup/ef-m/ef-m11-22-f4-56is-stm/","ミラーレスEOSのサイズにマッチする超広角ズームレンズ。"
"EF-M15-45mm F3.5-6.3 IS STM","https://cweb.canon.jp/ef/lineup/ef-m/ef-m15-45-f35-63-is-stm/","軽量・コンパクトな標準ズームレンズ。"
"EF-M18-150mm F3.5-6.3 IS STM","https://cweb.canon.jp/ef/lineup/ef-m/ef-m18-150-f35-63-is-stm/","EOS Mシリーズの世界を広げる、高倍率ズーム。"
"EF-M22mm F2 STM","https://cweb.canon.jp/ef/lineup/ef-m/ef-m22-f2stm/","EOS Mシリーズ専用薄型パンケーキレンズ。"
"EF-M28mm F3.5 マクロ IS STM","https://cweb.canon.jp/ef/lineup/ef-m/ef-m28-f35-is-stm/","LEDライト内蔵小型軽量マクロレンズ "
"EF-M32mm F1.4 STM","https://cweb.canon.jp/ef/lineup/ef-m/ef-m32-f14stm/","美しいボケ味とクリアな描写が魅力の大口径EF-Mレンズ。"
"EF-M55-200mm F4.5-6.3 IS STM","https://cweb.canon.jp/ef/lineup/ef-m/ef-m55-200-f45-63-is-stm/","軽量・コンパクトなミラーレスEOS専用望遠ズームレンズ。"
"RF24-105mm F4 L IS USM","https://cweb.canon.jp/eos/rf/lineup/rf24-105-f4l/","高画質と小型・軽量設計を両立。IS 5段分のズームレンズ。"
"RF28-70mm F2 L USM","https://cweb.canon.jp/eos/rf/lineup/rf28-70-f2l/","従来にない光学スペック。開放F値2 大口径ズームレンズ。"
"RF50mm F1.2 L USM","https://cweb.canon.jp/eos/rf/lineup/rf50-f12l/","F1.2から優れた解像力。大口径・単焦点レンズ。 "
"RF35mm F1.8 MACRO IS STM","https://cweb.canon.jp/eos/rf/lineup/rf35-f18/","手軽にボケ味を楽しめる、IS5段分搭載の小型・軽量広角マクロレンズ。 "
