"name","url","poem"
"Vario-Sonnar T* 24-70mm F2.8 ZA SSM II","https://www.sony.jp/ichigan/products/SAL2470Z2/","ZEISS「T＊（ティースター）コーティング」の特性向上によるゴーストを抑えたクリアな描写\nズーム全域で開放F値2.8を誇る、高性能大口径標準ズームレンズ\n動体追尾性能が向上した高性能AF"
"28-75mm F2.8 SAM","https://www.sony.jp/ichigan/products/SAL2875/",""
"70-200mm F2.8 G SSM II","https://www.sony.jp/ichigan/products/SAL70200G2/","動体追尾性能が向上した高性能AF\n高い性能と味のあるぼけを合わせ持つ、大口径望遠ズームレンズ\nナノARコーティング採用により、フレア・ゴーストを抑えたヌケの良い高画質を実現\n「ナノARコーティング」を採用し、さらに進化をとげた高性能大口径望遠ズームレンズ"
"70-300mm F4.5-5.6 G SSM II","https://www.sony.jp/ichigan/products/SAL70300G2/","「ナノARコーティング」を採用し、さらに進化をとげた高性能望遠ズームレンズ\n動体追尾性能が向上した高性能AF\n「ナノARコーティング」採用により、フレア・ゴーストを抑えたヌケの良い高画質を実現"
"70-400mm F4-5.6 G SSM II","https://www.sony.jp/ichigan/products/SAL70400G2/","70-400mm F4-5.6 G SSM II の進化した性能\n70-400mm F4-5.6 G SSM II の高速・高精度な動体追尾性能\nナノサイズの構造を持つ新コート「ナノARコーティング」\n各部名称\n連写時の動体追随性能が大幅に向上。さらにナノARコーティングによりフレア・ゴーストを大幅に低減。飛躍的に進化した新70-400mm F4-5.6 G SSM II"
"DT 11-18mm F4.5-5.6","https://www.sony.jp/ichigan/products/SAL1118/","DTレンズ"
"DT 16-50mm F2.8 SSM","https://www.sony.jp/ichigan/products/SAL1650/",""
"Vario-Sonnar T＊ DT 16-80mm F3.5-4.5 ZA","https://www.sony.jp/ichigan/products/SAL1680Z/","DTレンズ"
"DT 16-105mm F3.5-5.6","https://www.sony.jp/ichigan/products/SAL16105/",""
"DT 18-55mm  F3.5-5.6 SAM II","https://www.sony.jp/ichigan/products/SAL18552/","より高品位な外観デザインと、後遮光窓の形状を見直すことでフレア・ゴーストを抑えた高い描写性能を手に入れた標準ズームレンズ"
